TX_REF|TX_CHAVE|TX_VALOR
EQ_TipoConclusaoExecutada|MA_MT_BANCAPAB_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_BYPASSMT_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_BYPASSMT_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CABTELPA_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CABTELPA_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CHAMONBY_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CHAMONBY_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CHARELDE_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CHARELDE_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CHATRIBY_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CHATRIBY_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CHAVAVAR_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CHAVAVAR_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_COLDADGE_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_COLDADGE_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_COLDAGE_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_COLDAGE_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_COLPOTTR_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_COLPOTTR_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_COMIOBRA_MSCTEC_0001|MA_MT_COMIOBRA_MSCTEC_0001 - EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_COMIOBRA_MSCTEC_0002|MA_MT_COMIOBRA_MSCTEC_0002 - NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CONMANRD_MSCTEC_0001|MA_MT_CONMANRD_MSCTEC_0001 - EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CONMANRD_MSCTEC_0002|MA_MT_CONMANRD_MSCTEC_0002 - NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CONSPROP_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CONSPROP_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CORTE _MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CORTE _MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CORTE_MSCTEC_0001|MA_MT_CORTE_MSCTEC_0001 - EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CORTE_MSCTEC_0002|MA_MT_CORTE_MSCTEC_0002 - NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CRUZAVAR_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_CRUZAVAR_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_DESUCORA_MSCTEC_0001|MA_MT_DESUCORA_MSCTEC_0001 - EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_DESUCORA_MSCTEC_0002|MA_MT_DESUCORA_MSCTEC_0002 - NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_ENTRCART_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_ENTRCART_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_EXSVGDIS_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_EXSVGDIS_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_FISCDSPR_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_FISCDSPR_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_FISCOBRA_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_FISCOBRA_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_FISMANPR_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_FISMANPR_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_IMPESTCO_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_IMPESTCO_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSBCCAP_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSBCCAP_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSNVTEN_MSCTEC_0001|MA_MT_INSNVTEN_MSCTEC_0001 - EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSNVTEN_MSCTEC_0002|MA_MT_INSNVTEN_MSCTEC_0002 - NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPALIM_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPALIM_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPCORT_MSCTEC_0001|MA_MT_INSPCORT_MSCTEC_0001 - EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPCORT_MSCTEC_0002|MA_MT_INSPCORT_MSCTEC_0002 - NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPECSE_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPECSE_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPESFV_MSCTEC_0001|MA_MT_INSPESFV_MSCTEC_0001 - EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPESFV_MSCTEC_0002|MA_MT_INSPESFV_MSCTEC_0002 - NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPEUDE_MSCTEC_0001|MA_MT_INSPEUDE_MSCTEC_0001 - EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPEUDE_MSCTEC_0002|MA_MT_INSPEUDE_MSCTEC_0002 - NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPFLY _MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPFLY _MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPFLY_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPFLY_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPRMMT_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSPRMMT_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSREIBT_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSREIBT_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSRELPT_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSRELPT_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSTATER_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSTATER_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSTESPA_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSTESPA_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSTKOAL_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSTKOAL_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSTMED7_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSTMED7_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSTPRBT_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSTPRBT_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_INSTPRMT_MSCTEC_0001|EXECUTADO
